price,area,price_per_m2,location,bedroom,bathroom
"4,5 tỷ",300 m²,15 tr/m²,"Cao Phong, Hòa Bình",,
"4,7 tỷ",72 m²,"65,28 tr/m²","Quận 7, Hồ Chí Minh",2,2
"3,4 tỷ",68 m²,50 tr/m²,"Quận 9, Hồ Chí Minh",2,2
"2,35 tỷ",150 m²,"15,67 tr/m²","Bến Cát, Bình Dương",3,2
Giá thỏa thuận,42 m²,,"Cầu Giấy, Hà Nội",3,4
"34,09 tỷ","439,5 m²","77,56 tr/m²","Tân Phú, Hồ Chí Minh",,
27 tỷ,"57,3 m²","471,2 tr/m²","Quận 3, Hồ Chí Minh",6,3
"3,42 tỷ",180 m²,19 tr/m²,"An Dương, Hải Phòng",,
"1,45 tỷ",311 m²,"4,66 tr/m²","Ninh Hòa, Khánh Hòa",,
"1,19 tỷ",55 m²,"21,64 tr/m²","Nha Trang, Khánh Hòa",,
"4,92 tỷ",115 m²,"42,8 tr/m²","Thạch Thất, Hà Nội",,
"1,29 tỷ",35 m²,"36,86 tr/m²","Cầu Giấy, Hà Nội",1,1
7 tỷ,"77,5 m²","90,32 tr/m²","Cầu Giấy, Hà Nội",2,2
80 tỷ,150 m²,"533,33 tr/m²","Cầu Giấy, Hà Nội",,
"2,5 tỷ",720 m²,"3,47 tr/m²","Ba Vì, Hà Nội",,
"4,9 tỷ",80 m²,"61,25 tr/m²","Hoàng Mai, Hà Nội",2,2
"1,6 tỷ",335 m²,"4,78 tr/m²","Ba Vì, Hà Nội",,
Giá thỏa thuận,"64,3 m²",,"Sơn Trà, Đà Nẵng",2,2
39 tỷ,"202,5 m²","192,59 tr/m²","Hà Đông, Hà Nội",,
"17,5 tỷ",100 m²,175 tr/m²,"Quận 2, Hồ Chí Minh",,
"26,8 tỷ",104 m²,"257,69 tr/m²","Ba Đình, Hà Nội",34,34
"7,6 tỷ",74 m²,"102,7 tr/m²","Quận 2, Hồ Chí Minh",2,2
36 tỷ,198 m²,"181,82 tr/m²","Hà Đông, Hà Nội",,
"6,5 tỷ",36 m²,"180,56 tr/m²","Thanh Trì, Hà Nội",5,4
"7,3 tỷ",35 m²,"208,57 tr/m²","Bắc Từ Liêm, Hà Nội",4,4
"23,8 tỷ",81 m²,"293,83 tr/m²","Gia Lâm, Hà Nội",4,4
"11,9 tỷ",40 m²,"297,5 tr/m²","Thanh Xuân, Hà Nội",,
28 tỷ,180 m²,"155,56 tr/m²","Hà Đông, Hà Nội",,
"3,4 tỷ","58,9 m²","57,72 tr/m²","Quận 9, Hồ Chí Minh",2,2
"3,45 tỷ",25 m²,138 tr/m²,"Long Biên, Hà Nội",,
Giá thỏa thuận,392 m²,,"Bắc Từ Liêm, Hà Nội",,
"3,55 tỷ",100 m²,"35,5 tr/m²","Sóc Sơn, Hà Nội",,
31 tỷ,"227,5 m²","136,26 tr/m²","Hà Đông, Hà Nội",,
32 tỷ,225 m²,"142,22 tr/m²","Hà Đông, Hà Nội",,
"2,48 tỷ","198,4 m²","12,5 tr/m²","Diên Khánh, Khánh Hòa",,
390 triệu,900 m²,"433,33 nghìn/m²","Khánh Vĩnh, Khánh Hòa",,
"4,8 tỷ",120 m²,40 tr/m²,"Thủy Nguyên, Hải Phòng",,
9 tỷ,140 m²,"64,29 tr/m²","Quận 7, Hồ Chí Minh",3,2
4 tỷ,35 m²,"114,29 tr/m²","Hoài Đức, Hà Nội",4,3
5 tỷ,126 m²,"39,68 tr/m²","Tuy Phước, Bình Định",,
15 tỷ,110 m²,"136,36 tr/m²","Văn Giang, Hưng Yên",4,4
"4,5 tỷ",78 m²,"57,69 tr/m²","Bắc Từ Liêm, Hà Nội",,
"17,6 tỷ","127,5 m²","138,04 tr/m²","Thủy Nguyên, Hải Phòng",4,3
"13,5 tỷ",49 m²,"275,51 tr/m²","Quận 1, Hồ Chí Minh",5,5
4 tỷ,56 m²,"71,43 tr/m²","Quận 2, Hồ Chí Minh",2,1
"9,9 tỷ",40 m²,"247,5 tr/m²","Đống Đa, Hà Nội",,
50 tỷ,600 m²,"83,33 tr/m²","Nhơn Trạch, Đồng Nai",,
15 tỷ,50 m²,"299,98 tr/m²","Hà Đông, Hà Nội",3,3
"2,14 tỷ",48 m²,"44,5 tr/m²","Thủ Dầu Một, Bình Dương",1,1
"9,75 tỷ",295 m²,"33,05 tr/m²","Dĩ An, Bình Dương",,
"4,1 tỷ",122 m²,"33,61 tr/m²","Dĩ An, Bình Dương",3,2
"14,8 tỷ",136 m²,"108,82 tr/m²","Biên Hòa, Đồng Nai",3,3
"4,25 tỷ",32 m²,"132,81 tr/m²","Thanh Trì, Hà Nội",3,3
12 tỷ,155 m²,"77,42 tr/m²","Quận 7, Hồ Chí Minh",3,3
6 tỷ,66 m²,"90,91 tr/m²","Thanh Xuân, Hà Nội",2,2
65 triệu,"4,8 m²","13,54 tr/m²","Long Thành, Đồng Nai",,
"1,84 tỷ",108 m²,17 tr/m²,"Thủ Thừa, Long An",,
"3,1 tỷ",30 m²,"103,33 tr/m²","Tân Phú, Hồ Chí Minh",2,2
"16,15 tỷ",73 m²,"221,23 tr/m²","Đống Đa, Hà Nội",18,18
11 tỷ,56 m²,"196,43 tr/m²","Ba Đình, Hà Nội",,
"18,3 tỷ",78 m²,"234,62 tr/m²","Thanh Xuân, Hà Nội",21,21
"13,5 tỷ",55 m²,"245,46 tr/m²","Cầu Giấy, Hà Nội",15,15
Giá thỏa thuận,2.600 m²,,"Khoái Châu, Hưng Yên",,
51 tỷ,82 m²,"621,95 tr/m²","Cầu Giấy, Hà Nội",,
51 tỷ,80 m²,"637,5 tr/m²","Hoàn Kiếm, Hà Nội",4,
"2,95 tỷ",139 m²,"21,22 tr/m²","Vạn Ninh, Khánh Hòa",,
145 tỷ,200 m²,725 tr/m²,"Hai Bà Trưng, Hà Nội",,
Giá thỏa thuận,200 m²,,"Hoàn Kiếm, Hà Nội",,
3 tỷ,46 m²,"65,22 tr/m²","Nam Từ Liêm, Hà Nội",1,1
"5,85 tỷ",47 m²,"124,47 tr/m²","Quận 2, Hồ Chí Minh",1,
"5,5 tỷ",30 m²,"183,33 tr/m²","Thanh Xuân, Hà Nội",4,5
Giá thỏa thuận,60 m²,,"Ba Đình, Hà Nội",6,8
"8,8 tỷ",69 m²,"127,54 tr/m²","Long Biên, Hà Nội",,
580 triệu,"96,6 m²",6 tr/m²,"Hà Tiên, Kiên Giang",,
"3,33 tỷ",555 m²,6 tr/m²,"Lương Sơn, Hòa Bình",,
"1,25 tỷ","83,8 m²","14,92 tr/m²","Diên Khánh, Khánh Hòa",,
255 triệu,120 m²,"2,12 tr/m²","Yên Thủy, Hòa Bình",,
Giá thỏa thuận,121 m²,,"Hoài Đức, Hà Nội",,
"3,85 tỷ",1.100 m²,"3,5 tr/m²","Ba Vì, Hà Nội",,
"13,5 tỷ",100 m²,135 tr/m²,"Sơn Trà, Đà Nẵng",4,3
15 tỷ,200 m²,75 tr/m²,"Thanh Hóa, Thanh Hóa",,
"8,8 tỷ",55 m²,160 tr/m²,"Long Biên, Hà Nội",,
"15,8 tỷ",50 m²,316 tr/m²,"Hà Đông, Hà Nội",6,6
"4,15 tỷ","64,5 m²","64,34 tr/m²","Nam Từ Liêm, Hà Nội",2,2
Giá thỏa thuận,207 m²,,"Hà Đông, Hà Nội",6,6
"32,5 tỷ",120 m²,"270,83 tr/m²","Hà Đông, Hà Nội",,
"3,6 tỷ",64 m²,"56,25 tr/m²","Quận 2, Hồ Chí Minh",2,2
Giá thỏa thuận,115 m²,,"Bắc Từ Liêm, Hà Nội",3,2
Giá thỏa thuận,115 m²,,"Bắc Từ Liêm, Hà Nội",3,2
"6,4 tỷ",35 m²,"182,86 tr/m²","Hoài Đức, Hà Nội",3,3
"21,9 tỷ",63 m²,"347,62 tr/m²","Ba Đình, Hà Nội",3,5
"2,86 tỷ",51 m²,"56,08 tr/m²","Bình Tân, Hồ Chí Minh",2,1
"3,65 tỷ",30 m²,"121,67 tr/m²","Bình Thạnh, Hồ Chí Minh",2,3
"7,68 tỷ",78 m²,"98,46 tr/m²","Gò Vấp, Hồ Chí Minh",4,4
"14,5 tỷ",86 m²,"168,6 tr/m²","Quận 6, Hồ Chí Minh",,
"4,2 tỷ","79,2 m²","53,03 tr/m²","Hoàng Mai, Hà Nội",3,2
18 tỷ,300 m²,60 tr/m²,"Mê Linh, Hà Nội",5,4
"23,95 tỷ",375 m²,"63,87 tr/m²","Biên Hòa, Đồng Nai",4,5
"4,4 tỷ",83 m²,"53,01 tr/m²","Bình Chánh, Hồ Chí Minh",3,2
"1,89 tỷ",100 m²,"18,9 tr/m²","Sóc Sơn, Hà Nội",,
12 tỷ,"55,2 m²","217,39 tr/m²","Quận 10, Hồ Chí Minh",5,5
629 triệu,161 m²,"3,91 tr/m²","Ninh Hòa, Khánh Hòa",,
"4,6 tỷ",45 m²,"102,22 tr/m²","Phú Nhuận, Hồ Chí Minh",3,3
"14,5 tỷ",48 m²,"302,08 tr/m²","Cầu Giấy, Hà Nội",5,5
Giá thỏa thuận,90 m²,,"Đan Phượng, Hà Nội",5,4
"1,7 tỷ",36 m²,"47,19 tr/m²","Gò Vấp, Hồ Chí Minh",2,1
18 tỷ,170 m²,"105,88 tr/m²","Sơn Trà, Đà Nẵng",,
"17,9 tỷ",270 m²,"66,3 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",4,4
Giá thỏa thuận,78 m²,,"Quận 2, Hồ Chí Minh",2,2
"10,8 tỷ",40 m²,270 tr/m²,"Tân Bình, Hồ Chí Minh",1,1
"7,7 tỷ",38 m²,"202,63 tr/m²","Thanh Xuân, Hà Nội",3,4
"8,38 tỷ",72 m²,"116,39 tr/m²","Tân Bình, Hồ Chí Minh",,
"10,6 tỷ",72 m²,"147,22 tr/m²","Phú Nhuận, Hồ Chí Minh",,
"6,98 tỷ",39 m²,"178,97 tr/m²","Hai Bà Trưng, Hà Nội",4,3
"3,85 tỷ","170,3 m²","22,61 tr/m²","Tiên Lữ, Hưng Yên",,
Giá thỏa thuận,43 m²,,"Ba Đình, Hà Nội",5,3
"2,23 tỷ","48,5 m²",46 tr/m²,"Đan Phượng, Hà Nội",,
Giá thỏa thuận,120 m²,,"Cầu Giấy, Hà Nội",3,2
"6,5 tỷ","71,5 m²","90,91 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"10,8 tỷ",172 m²,"62,79 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",4,3
"9,6 tỷ",135 m²,"71,11 tr/m²","Sơn Trà, Đà Nẵng",5,3
"5,85 tỷ",101 m²,"57,9 tr/m²","Long Biên, Hà Nội",3,2
56 tỷ,702 m²,"79,77 tr/m²","Đà Lạt, Lâm Đồng",,
63 tỷ,197 m²,"319,8 tr/m²","Tây Hồ, Hà Nội",5,5
"6,78 tỷ",113 m²,60 tr/m²,"Bắc Từ Liêm, Hà Nội",3,
"8,6 tỷ","91,4 m²","94,09 tr/m²","Hà Giang, Hà Giang",,
"2,85 tỷ",4.400 m²,"647,73 nghìn/m²","Ninh Hòa, Khánh Hòa",,
"5,3 tỷ","87,5 m²","60,57 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",4,3
"21,5 tỷ",65 m²,"330,77 tr/m²","Cầu Giấy, Hà Nội",6,
750 triệu,100 m²,"7,5 tr/m²","Sông Công, Thái Nguyên",,
56 tỷ,308 m²,"181,82 tr/m²","Nhơn Trạch, Đồng Nai",4,5
"3,9 tỷ",70 m²,"55,71 tr/m²","Cầu Giấy, Hà Nội",2,2
63 tỷ,180 m²,350 tr/m²,"Tây Hồ, Hà Nội",,
"1,05 tỷ",114 m²,"9,21 tr/m²","Bình Chánh, Hồ Chí Minh",3,2
"5,5 tỷ",136 m²,"40,44 tr/m²","Thuận An, Bình Dương",,
"4,5 tỷ",92 m²,"48,91 tr/m²","Bắc Từ Liêm, Hà Nội",3,2
"16,5 tỷ",105 m²,"157,14 tr/m²","Thủ Đức, Hồ Chí Minh",,
Giá thỏa thuận,155 m²,,"Sơn Trà, Đà Nẵng",9,9
"6,5 tỷ",100 m²,65 tr/m²,"Bến Lức, Long An",3,2
"2,7 tỷ",55 m²,"49,09 tr/m²","Gia Lâm, Hà Nội",2,1
"7,3 tỷ",36 m²,"202,78 tr/m²","Cầu Giấy, Hà Nội",4,3
"6,5 tỷ",90 m²,"72,22 tr/m²","Cầu Giấy, Hà Nội",3,2
"13,5 tỷ",150 m²,90 tr/m²,"Quận 7, Hồ Chí Minh",3,2
"6,6 tỷ","33,1 m²","199,4 tr/m²","Hà Đông, Hà Nội",4,4
"5,5 tỷ",96 m²,"57,29 tr/m²","Bến Lức, Long An",3,3
"4,05 tỷ",64 m²,"63,28 tr/m²","Nam Từ Liêm, Hà Nội",2,2
9 tỷ,"84,5 m²","106,51 tr/m²","Văn Giang, Hưng Yên",,
"3,6 tỷ",88 m²,"40,91 tr/m²","Thanh Trì, Hà Nội",3,2
9 tỷ,"84,5 m²","106,51 tr/m²","Văn Giang, Hưng Yên",,
"3,6 tỷ",88 m²,"40,91 tr/m²","Thanh Trì, Hà Nội",3,2
"7,2 tỷ",63 m²,"114,29 tr/m²","Văn Giang, Hưng Yên",,
"1,94 tỷ",32 m²,"60,62 tr/m²","Chương Mỹ, Hà Nội",3,3
42 tỷ,"93,52 m²","449,1 tr/m²","Nam Từ Liêm, Hà Nội",5,5
"4,82 tỷ",240 m²,"20,08 tr/m²","Phú Thọ, Phú Thọ",,
"4,08 tỷ",64 m²,"63,75 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"2,45 tỷ",85 m²,"28,82 tr/m²","Liên Chiểu, Đà Nẵng",,
"15,2 tỷ",81 m²,"187,65 tr/m²","Quận 2, Hồ Chí Minh",2,2
"1,65 tỷ",58 m²,"28,45 tr/m²","Dĩ An, Bình Dương",2,2
"5,5 tỷ",30 m²,"183,33 tr/m²","Ba Đình, Hà Nội",4,5
"4,3 tỷ","81,25 m²","52,92 tr/m²","Ba Đình, Hà Nội",3,2
59 tỷ,128 m²,"460,94 tr/m²","Đống Đa, Hà Nội",4,2
"2,2 tỷ",46 m²,"47,83 tr/m²","Nhà Bè, Hồ Chí Minh",1,
Giá thỏa thuận,54 m²,,"Hoài Đức, Hà Nội",,
"2,38 tỷ",20 m²,119 tr/m²,"Hai Bà Trưng, Hà Nội",,
7 tỷ,64 m²,"109,38 tr/m²","Quận 11, Hồ Chí Minh",,
"3,75 tỷ",76 m²,"49,34 tr/m²","Quận 7, Hồ Chí Minh",2,2
380 tỷ,530 m²,"716,98 tr/m²","Quận 10, Hồ Chí Minh",,
"15,3 tỷ",110 m²,"139,09 tr/m²","Quận 10, Hồ Chí Minh",,
"15,3 tỷ",110 m²,"139,09 tr/m²","Quận 10, Hồ Chí Minh",,
"15,5 tỷ",55 m²,"281,82 tr/m²","Hà Đông, Hà Nội",6,
"31,5 tỷ",200 m²,"157,5 tr/m²","Hà Đông, Hà Nội",5,5
"5,4 tỷ",200 m²,27 tr/m²,"Tiên Du, Bắc Ninh",,
"17,6 tỷ","127,5 m²","138,04 tr/m²","Thủy Nguyên, Hải Phòng",3,4
"5,9 tỷ",72 m²,"81,94 tr/m²","Thanh Xuân, Hà Nội",2,2
7 tỷ,30 m²,"233,33 tr/m²","Nam Từ Liêm, Hà Nội",3,4
"10,8 tỷ",62 m²,"174,19 tr/m²","Ba Đình, Hà Nội",10,
"5,5 tỷ",70 m²,"78,57 tr/m²","Quận 12, Hồ Chí Minh",4,5
"4,95 tỷ",32 m²,"154,69 tr/m²","Hoàng Mai, Hà Nội",3,3
"2,25 tỷ",72 m²,"31,25 tr/m²","Thuận An, Bình Dương",2,2
18 tỷ,"92,7 m²","194,18 tr/m²","Quận 9, Hồ Chí Minh",4,5
50 tỷ,147 m²,"340,14 tr/m²","Thanh Xuân, Hà Nội",,
Giá thỏa thuận,133 m²,,"Nam Từ Liêm, Hà Nội",3,2
42 tỷ,60 m²,700 tr/m²,"Hoàn Kiếm, Hà Nội",6,6
"3,5 tỷ","37,4 m²","93,58 tr/m²","Quận 7, Hồ Chí Minh",2,3
"5,5 tỷ",111 m²,"49,55 tr/m²","Biên Hòa, Đồng Nai",4,3
"17,5 tỷ",70 m²,250 tr/m²,"Hà Đông, Hà Nội",4,3
"7,8 tỷ",70 m²,"111,43 tr/m²","Văn Giang, Hưng Yên",5,5
"5,6 tỷ",52 m²,"107,69 tr/m²","Quận 12, Hồ Chí Minh",4,4
Giá thỏa thuận,68 m²,,"Hà Đông, Hà Nội",2,2
Giá thỏa thuận,"112,9 m²",,"Cầu Giấy, Hà Nội",3,2
Giá thỏa thuận,120 m²,,"Ba Đình, Hà Nội",,
"6,6 tỷ","108,1 m²","61,06 tr/m²","Hai Bà Trưng, Hà Nội",3,2
"2,15 tỷ",35 m²,"61,43 tr/m²","Bình Tân, Hồ Chí Minh",2,2
Giá thỏa thuận,63 m²,,"Gia Lâm, Hà Nội",2,2
"16,2 tỷ",80 m²,"202,5 tr/m²","Quận 7, Hồ Chí Minh",4,5
"9,8 tỷ",120 m²,"81,67 tr/m²","Nhà Bè, Hồ Chí Minh",,
"1,5 tỷ",100 m²,15 tr/m²,"Nhơn Trạch, Đồng Nai",2,2
36 tỷ,80 m²,450 tr/m²,"Hai Bà Trưng, Hà Nội",6,5
"16,18 tỷ",138 m²,"117,24 tr/m²","Tân Bình, Hồ Chí Minh",,
"2,25 tỷ",30 m²,75 tr/m²,"Văn Giang, Hưng Yên",1,1
"2,7 tỷ",45 m²,60 tr/m²,"Sơn Trà, Đà Nẵng",1,1
Giá thỏa thuận,200 m²,,"Mê Linh, Hà Nội",,
17 tỷ,65 m²,"261,54 tr/m²","Đống Đa, Hà Nội",,
"8,5 tỷ",98 m²,"86,74 tr/m²","Nhà Bè, Hồ Chí Minh",2,1
"4,5 tỷ",62 m²,"72,58 tr/m²","Nam Từ Liêm, Hà Nội",2,1
6 tỷ,105 m²,"57,14 tr/m²","Kim Bảng, Hà Nam",,
"4,1 tỷ","69,2 m²","59,25 tr/m²","Gia Lâm, Hà Nội",2,2
"14,96 tỷ",440 m²,34 tr/m²,"Quận 9, Hồ Chí Minh",,
"7,14 tỷ","62,1 m²","114,99 tr/m²","Gia Lâm, Hà Nội",,
"11,8 tỷ",88 m²,"134,09 tr/m²","Tân Bình, Hồ Chí Minh",5,5
"3,58 tỷ",30 m²,"119,33 tr/m²","Hà Đông, Hà Nội",3,3
24 tỷ,3.600 m²,"6,67 tr/m²","Lạc Dương, Lâm Đồng",,
Giá thỏa thuận,1.373 m²,,"Cẩm Lệ, Đà Nẵng",,
"10,5 tỷ",160 m²,"65,62 tr/m²","Quận 9, Hồ Chí Minh",4,
"21,7 tỷ",53 m²,"409,43 tr/m²","Nha Trang, Khánh Hòa",,
Giá thỏa thuận,75 m²,,"Bắc Từ Liêm, Hà Nội",2,2
"7,9 tỷ",102 m²,"77,45 tr/m²","Tân Phú, Hồ Chí Minh",3,3
"15,5 tỷ",150 m²,"103,33 tr/m²","Quận 2, Hồ Chí Minh",3,2
"1,85 tỷ",150 m²,"12,33 tr/m²","Bến Cát, Bình Dương",,
"3,5 tỷ",100 m²,35 tr/m²,"Phổ Yên, Thái Nguyên",,
"8,2 tỷ",12.000 m²,"683,33 nghìn/m²","Lâm Hà, Lâm Đồng",,
"15,5 tỷ",90 m²,"172,22 tr/m²","Tân Bình, Hồ Chí Minh",6,7
"7,9 tỷ",36 m²,"219,44 tr/m²","Tây Hồ, Hà Nội",2,2
420 triệu,184 m²,"2,28 tr/m²","Trảng Bàng, Tây Ninh",,
"9,5 tỷ",47 m²,"202,13 tr/m²","Hai Bà Trưng, Hà Nội",5,4
"6,6 tỷ",37 m²,"178,38 tr/m²","Thanh Xuân, Hà Nội",5,4
"13,5 tỷ",101 m²,"133,66 tr/m²","Đống Đa, Hà Nội",2,2
"5,5 tỷ",70 m²,"78,57 tr/m²","Long Biên, Hà Nội",,
10 tỷ,40 m²,250 tr/m²,"Nam Từ Liêm, Hà Nội",4,5
"5,95 tỷ",86 m²,"69,2 tr/m²","Tân Phú, Hồ Chí Minh",2,2
"10,5 tỷ",323 m²,"32,51 tr/m²","Phúc Yên, Vĩnh Phúc",,
"5,81 tỷ",100 m²,"58,12 tr/m²","Từ Sơn, Bắc Ninh",4,5
"11,85 tỷ",60 m²,"197,5 tr/m²","Hoàng Mai, Hà Nội",10,10
Giá thỏa thuận,84 m²,,"Thanh Trì, Hà Nội",3,2
"5,8 tỷ","102,4 m²","56,64 tr/m²","Cầu Giấy, Hà Nội",3,2
"11,73 tỷ","152,3 m²",77 tr/m²,"Nha Trang, Khánh Hòa",,
"8,35 tỷ","83,5 m²",100 tr/m²,"Cầu Giấy, Hà Nội",2,2
Giá thỏa thuận,265 m²,,"Ngũ Hành Sơn, Đà Nẵng",,
"8,99 tỷ",110 m²,"81,73 tr/m²","Phú Nhuận, Hồ Chí Minh",3,2
"3,1 tỷ",24 m²,"129,17 tr/m²","Gò Vấp, Hồ Chí Minh",2,2
Giá thỏa thuận,35 m²,,"Việt Trì, Phú Thọ",,
"3,3 tỷ",60 m²,55 tr/m²,"Hải Châu, Đà Nẵng",2,
23 tỷ,"82,5 m²","278,79 tr/m²","Quận 10, Hồ Chí Minh",,
"2,9 tỷ",70 m²,"41,43 tr/m²","Hoàng Mai, Hà Nội",,
"13,8 tỷ",86 m²,"160,46 tr/m²","Ba Đình, Hà Nội",6,5
"2,65 tỷ",66 m²,"40,15 tr/m²","An Dương, Hải Phòng",3,3
"4,3 tỷ","57,3 m²","75,04 tr/m²","Quận 9, Hồ Chí Minh",3,3
"8,6 tỷ","211,9 m²","40,58 tr/m²","Long Điền, Bà Rịa Vũng Tàu",,
"6,5 tỷ",44 m²,"147,73 tr/m²","Long Biên, Hà Nội",3,4
17 tỷ,127 m²,"133,86 tr/m²","Văn Giang, Hưng Yên",,
29 tỷ,120 m²,"241,67 tr/m²","Bắc Từ Liêm, Hà Nội",,
"1,98 tỷ",80 m²,"24,75 tr/m²","Củ Chi, Hồ Chí Minh",,
390 triệu,210 m²,"1,86 tr/m²","Trảng Bàng, Tây Ninh",,
7 tỷ,110 m²,"63,64 tr/m²","Cầu Giấy, Hà Nội",3,2
"17,9 tỷ",126 m²,"142,06 tr/m²","Quận 9, Hồ Chí Minh",5,6
"15,5 tỷ",150 m²,"103,33 tr/m²","Quận 2, Hồ Chí Minh",3,2
"2,8 tỷ",48 m²,"58,33 tr/m²","Sơn Trà, Đà Nẵng",1,1
"14,5 tỷ",40 m²,"362,5 tr/m²","Nam Từ Liêm, Hà Nội",9,7
"7,75 tỷ",61 m²,"127,05 tr/m²","Quận 7, Hồ Chí Minh",4,5
"6,9 tỷ",190 m²,"36,32 tr/m²","Điện Bàn, Quảng Nam",,
"6,98 tỷ",38 m²,"183,68 tr/m²","Nam Từ Liêm, Hà Nội",3,4
"3,3 tỷ",68 m²,"48,53 tr/m²","Gia Lâm, Hà Nội",2,2
"9,98 tỷ",99 m²,"100,76 tr/m²","Hải Châu, Đà Nẵng",,
60 tỷ,153 m²,"392,16 tr/m²","Quận 1, Hồ Chí Minh",,
"44,5 tỷ",128 m²,"347,66 tr/m²","Bắc Từ Liêm, Hà Nội",,
"56,32 tỷ",3.520 m²,16 tr/m²,"Dĩ An, Bình Dương",,
"1,87 tỷ",85 m²,22 tr/m²,"Quận 7, Hồ Chí Minh",2,3
"2,56 tỷ","102,5 m²",25 tr/m²,"Thái Thuỵ, Thái Bình",,
Giá thỏa thuận,65 m²,,"Đông Anh, Hà Nội",2,2
Giá thỏa thuận,128 m²,,"Tuy Phước, Bình Định",,
"3,95 tỷ",90 m²,"43,89 tr/m²","Cẩm Lệ, Đà Nẵng",,
"2,1 tỷ",150 m²,14 tr/m²,"Tam Nông, Phú Thọ",,
35 tỷ,55 m²,"636,36 tr/m²","Cầu Giấy, Hà Nội",6,4
"13,2 tỷ",147 m²,"89,8 tr/m²","Nam Từ Liêm, Hà Nội",4,3
"6,5 tỷ",41 m²,"158,54 tr/m²","Hà Đông, Hà Nội",4,4
"7,29 tỷ",98 m²,"74,39 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"5,6 tỷ",146 m²,"38,36 tr/m²","Thủ Dầu Một, Bình Dương",2,2
"3,95 tỷ",125 m²,"31,6 tr/m²","Phúc Yên, Vĩnh Phúc",5,5
11 tỷ,105 m²,"104,76 tr/m²","Văn Giang, Hưng Yên",,
31 tỷ,56 m²,"553,57 tr/m²","Ba Đình, Hà Nội",,
"7,9 tỷ",72 m²,"109,72 tr/m²","Văn Giang, Hưng Yên",,
8 tỷ,72 m²,"111,11 tr/m²","Văn Giang, Hưng Yên",,
"5,9 tỷ",30 m²,"196,67 tr/m²","Ba Đình, Hà Nội",3,4
Giá thỏa thuận,74 m²,,"Nhà Bè, Hồ Chí Minh",2,2
18 tỷ,109 m²,"165,14 tr/m²","Văn Giang, Hưng Yên",,
13 tỷ,100 m²,130 tr/m²,"Tân Bình, Hồ Chí Minh",6,6
"6,2 tỷ",45 m²,"137,78 tr/m²","Gia Lâm, Hà Nội",,
Giá thỏa thuận,51 m²,,"Bến Lức, Long An",2,1
"37,9 tỷ",200 m²,"189,5 tr/m²","Sơn Trà, Đà Nẵng",22,23
357 tỷ,595 m²,600 tr/m²,"Quận 3, Hồ Chí Minh",15,15
"6,4 tỷ",57 m²,"112,28 tr/m²","Gò Vấp, Hồ Chí Minh",4,5
9 tỷ,"97,3 m²","92,5 tr/m²","Thanh Xuân, Hà Nội",4,3
"8,6 tỷ",89 m²,"96,63 tr/m²","Thủ Đức, Hồ Chí Minh",4,5
"19,2 tỷ","107,5 m²","178,6 tr/m²","Thủ Đức, Hồ Chí Minh",5,6
4 tỷ,560 m²,"7,14 tr/m²","Củ Chi, Hồ Chí Minh",,
"9,5 tỷ",68 m²,"139,71 tr/m²","Hoài Đức, Hà Nội",,
"1,5 tỷ",1.000 m²,"1,5 tr/m²","Bảo Lâm, Lâm Đồng",1,1
"6,9 tỷ",42 m²,"164,29 tr/m²","Ba Đình, Hà Nội",2,2
"8,81 tỷ","107,4 m²",82 tr/m²,"Thanh Xuân, Hà Nội",3,2
"1,5 tỷ",1.000 m²,"1,5 tr/m²","Bảo Lâm, Lâm Đồng",,
Giá thỏa thuận,180 m²,,"Hà Đông, Hà Nội",,
60 tỷ,300 m²,200 tr/m²,"Văn Giang, Hưng Yên",4,4
"6,35 tỷ",106 m²,"59,91 tr/m²","Quận 7, Hồ Chí Minh",2,2
"5,2 tỷ",111 m²,"46,85 tr/m²","Bình Chánh, Hồ Chí Minh",3,3
"4,98 tỷ",36 m²,"138,33 tr/m²","Hoàng Mai, Hà Nội",3,3
"6,68 tỷ",33 m²,"202,42 tr/m²","Hoàng Mai, Hà Nội",4,3
22 tỷ,63 m²,"349,21 tr/m²","Ba Đình, Hà Nội",5,8
"2,5 tỷ",500 m²,5 tr/m²,"Nhơn Trạch, Đồng Nai",,
"2,98 tỷ",60 m²,"49,67 tr/m²","Quận 8, Hồ Chí Minh",2,1
Giá thỏa thuận,150 m²,,"Bàu Bàng, Bình Dương",6,6
"33,9 tỷ",120 m²,"282,5 tr/m²","Nam Từ Liêm, Hà Nội",31,31
Giá thỏa thuận,50 m²,,"Thạch Thất, Hà Nội",,
"67,5 tỷ",144 m²,"468,75 tr/m²","Quận 5, Hồ Chí Minh",,
Giá thỏa thuận,62 m²,,"Hà Đông, Hà Nội",6,6
"8,5 tỷ",150 m²,"56,67 tr/m²","Sơn Trà, Đà Nẵng",3,3
"10,6 tỷ",180 m²,"58,89 tr/m²","Từ Sơn, Bắc Ninh",5,4
"2,9 tỷ",68 m²,"42,65 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
